NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Sex,Age,Study Type,Start Date,Primary Completion Date,Completion Date,Locations
NCT07094893,Anti-EGFR Agents in Patients With Right-sided Advanced Colorectal Cancer With Wild-type RAS and AREG/EREG High Status,https://clinicaltrials.gov/study/NCT07094893,NOT_YET_RECRUITING,Colorectal Cancer,DRUG: Cetuximab (EGFR inhibitor)|DRUG: Bevacizumab|DRUG: Irinotecan (CPT-11)|DRUG: Oxaliplatin|DRUG: Leucovorin and 5-FU|DRUG: Capecitabine,Gruppo Oncologico del Nord-Ovest,Merck Serono International SA,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-11-15,2028-03,2030-03,
NCT07094880,Subcuteous Methotrexate in Rheumatoid Arthritis,https://clinicaltrials.gov/study/NCT07094880,COMPLETED,Methotrexate Adverse Reaction|Advantage of Using Subcutaneous Route for Methotrexate,DRUG: Tab. Methotrexate 25mg/week|DRUG: Inj. Methotrexate 25mg/week,Bangladesh Medical University,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2015-06-01,2016-06-01,2016-06-01,
NCT07094867,Customized z Shaped Miniplate Versus Standard 2 Miniplates for Fixation of Parasymphyseal/Body Mandibular Fractures,https://clinicaltrials.gov/study/NCT07094867,COMPLETED,Mandibular Fractures,OTHER: customized Z shaped miniplate|OTHER: conventional two miniplates,Hams Hamed Abdelrahman,,ALL,ADULT,INTERVENTIONAL,2024-04-01,2024-12-30,2024-12-30,"Outpatient Clinic of Oral and Maxillofacial Surgery Department, Faculty of Dentistry, Alexandria University, Alexandria, Egypt"
NCT07094854,Clinical Performance and Antibacterial Effect of Alkasite Bioactive Material in Restoring Pulpotomized Primary Molars,https://clinicaltrials.gov/study/NCT07094854,NOT_YET_RECRUITING,Healthy Children,OTHER: Cention Forte alkasite bioactive restorative material|OTHER: Stainless steel crown,Noha Fouad,,ALL,CHILD,INTERVENTIONAL,2025-07,2026-08,2026-08,"Faculty of Dentistry, Alexandria University, Alexandria, Egypt|Faculty of Pharmacy, Alexandria University, Alexandria, Egypt"
NCT07094841,Comparative Study Between Two 3D Functional Appliances Herbst and Mandibular Anterior Repositioning Appliance (MARA) on Posterior Airway Space And TMJ in Growing Class II Malocclusion Patients,https://clinicaltrials.gov/study/NCT07094841,NOT_YET_RECRUITING,Mal Occlusion Class 2,DEVICE: 3D PRINTED herbst appliance|DEVICE: 3d printed mara,Moataz Sleem Ahmed Ali,,ALL,CHILD,INTERVENTIONAL,2025-09-01,2027-01-01,2028-01-01,
NCT07094828,Integration of Augmented Visual Feedback in Action Observation and Motor Imagery Therapy for Parkinson's Disease,https://clinicaltrials.gov/study/NCT07094828,NOT_YET_RECRUITING,"Parkinson Disease, Idiopathic",OTHER: AOMI with D-Wall|OTHER: Routine physiotherapy with D-Wall,University of Bergamo,Fondazione Europea di Ricerca Biomedica Ferb Onlus,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-09-01,2026-06,2026-07,
NCT07094815,Effectiveness of Laparoscopic Lateral Suspension With or Without Hysterectomy in Pelvic Organ Prolapse,https://clinicaltrials.gov/study/NCT07094815,COMPLETED,Pelvic Organ Prolapse (POP)|Uterine Prolapse,,Havva Betül Bacak,,FEMALE,"ADULT, OLDER_ADULT",OBSERVATIONAL,2025-05-28,2025-06-28,2025-06-28,"University of Health Sciences, Gaziosmanpaşa Training and Research Hospital, Istanbul, 34255, Turkey"
NCT07094802,Comparison of Intrathecal Bupivacaine With and Without Morphine for Post-operative Analgesia in Parturients Undergoing Elective Cesarean Section: A Randomized Controlled Trial,https://clinicaltrials.gov/study/NCT07094802,NOT_YET_RECRUITING,"Postoperative Pain|Cesarean Delivery|Analgesia, Obstetrical",DRUG: Intrathecal morphine with bupivacaine|DRUG: Hyperbaric Bupivicaine,"Tribhuvan University Teaching Hospital, Institute Of Medicine.",,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-10-15,2026-03-20,2026-08-15,
NCT07094789,Focused Ultrasound Neuromodulation in Patients With Treatment-Resistant Depression,https://clinicaltrials.gov/study/NCT07094789,RECRUITING,Treatment-Resistant Depression|Treatment-resistant Depression (TRD),DEVICE: Next Generation Dome Helmet (NGDH),Sunnybrook Health Sciences Centre,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-07,2027-08,2027-08,"Sunnybrook Health Sciences Centre, Toronto, Ontario, M4N 3M5, Canada"
NCT07094776,Evaluation of MG53 (TRIM72) Levels in Women With Polycystic Ovary Syndrome: An Observational Study,https://clinicaltrials.gov/study/NCT07094776,ENROLLING_BY_INVITATION,Polycystic Ovary Syndrome (PCOS)|Insulin Resistance Syndrome,OTHER: No intervention (observational study),Havva Betül Bacak,,FEMALE,ADULT,OBSERVATIONAL,2025-06-18,2025-08-20,2025-08-20,"University of Health Sciences, Gaziosmanpaşa Training and Research Hospital, Gaziosmanpaşa, İstanbul, 34255, Turkey"
NCT07094763,Efficacy and Safety of Tenecteplase Intravenous Thrombolysis in Acute Posterior Circulation Ischemic Stroke Within 4.5-24 Hours After Onset,https://clinicaltrials.gov/study/NCT07094763,NOT_YET_RECRUITING,Acute Ischemic Stroke,DRUG: TNK plus standard medical treatment|DRUG: standard medical management,The First Affiliated Hospital of University of Science and Technology of China,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-08-05,2027-10-30,2027-12-30,"The First Affiliated Hospital of the University of Science and Technology of China, Hefei, China"
NCT07094750,Randomization for the Identification of Best Treatment Intensity for Less Fit Adults With Acute Myeloid Leukemia and Myeloid Neoplasms,https://clinicaltrials.gov/study/NCT07094750,NOT_YET_RECRUITING,Acute Leukemia of Ambiguous Lineage|Acute Myeloid Leukemia|Myeloid Neoplasm,PROCEDURE: Biospecimen Collection|PROCEDURE: Bone Marrow Collection|OTHER: Electronic Health Record Review|OTHER: Questionnaire Administration,Fred Hutchinson Cancer Center,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-12-01,2029-06-01,2029-06-01,"Fred Hutch/University of Washington Cancer Consortium, Seattle, Washington, 98109, United States"
NCT07094737,The Italian Alliance for Cardiovascular Rehabilitation and Prevention (ITACARE-P) Registry: An Observational Study on Cardiac Rehabilitation in Patients With Coronary Disease or Heart Failure,https://clinicaltrials.gov/study/NCT07094737,RECRUITING,Cardiac Rehab|Heart Failure|Coronary Disease|Heart Conditions|Rehabilitation|Cardiac Rehabilitation|Telerehabilitation,,Fondazione Don Carlo Gnocchi Onlus,"Istituti Clinici Scientifici Maugeri SpA|ASST Crema|IRCCS Ospedale San Raffaele|AORN Sant'Anna e San Sebastiano - Caserta|IRCCS Fondazione Don Gnocchi-Firenze|Fondazione Don Gnocchi Parma|U.O.S. Riabilitazione Cardiologica Area Sud Azienda USL Toscana|S.O.D. Riabilitazione Cardiologica Azienda Ospedaliero Universitaria Careggi Firenze|UOSD Cardiologia Riabilitativa Azienda Ospedaliera San Giovanni-Addolorata|IRCCS Istituti clinici Maugeri, Istituto di Montescano|IRCCS Istituti clinici Maugeri, Istituto di Pavia|IRCCS Istituti clinici Maugeri, Istituto di Gattico-Veruno|Struttura complessa Riabilitazione Cardiologica|Casa di cura villa gemma|Cardiologia Riabilitativa Tagliacozzo|ASST Brianza|Riabilitazione del Cardiopatico|UOS Cardiologia Riabilitativa ULSS Serenissima|Ospedale Riabilitativo di Alta Specializzazione|Istituto clinico Maugeri Lumezzane|U.O.C. Cardiologia ASL 3 Genovese",ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL,2025-05-01,2027-12-31,2027-12-31,"IRCCS Dongnocchi, Milano, 20100, Italy"
NCT07094724,High-Titer Neutralizing Plasma for West Nile Fever in Hospitalized Patients,https://clinicaltrials.gov/study/NCT07094724,NOT_YET_RECRUITING,West Nile Fever,BIOLOGICAL: Plasma,Gili Regev-Yochay MD,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-07-30,2025-11-30,2025-11-30,
NCT07094711,"Safety, Immunogenicity, and Efficacy of Therapeutic Mycobacterium Bovis BCG (BOOST)",https://clinicaltrials.gov/study/NCT07094711,NOT_YET_RECRUITING,"Mycobacterium Avium-intracellulare Infection|Mycobacterium Infections, Nontuberculous",BIOLOGICAL: Mycobacterium bovis Bacillus Calmette Guerin (BCG) vaccine|DRUG: preservative-free saline,University of Virginia,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-09-30,2027-12-30,2028-09-30,"University of Virginia Health, Charlottesville, Virginia, 22908, United States"
NCT07094698,Sacral Stimulation in Women With Low Back Pain: Effects on Pelvic Functions and Daily Life,https://clinicaltrials.gov/study/NCT07094698,ACTIVE_NOT_RECRUITING,Pelvic Floor Dysfunction|Low Back Pain,OTHER: sacral stimulation,Uskudar University,,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-03-01,2026-03-01,2026-07-01,"Medipol Acıbadem Regional Hospital, Istanbul, 34718, Turkey"
NCT07094685,Ivonescimab Before Surgery for the Treatment of Resectable Stage II-IV Head and Neck Cancer,https://clinicaltrials.gov/study/NCT07094685,NOT_YET_RECRUITING,Advanced Head and Neck Squamous Cell Carcinoma|Resectable Head and Neck Squamous Cell Carcinoma|Stage II Head and Neck Cutaneous Squamous Cell Carcinoma|Stage III Head and Neck Cutaneous Squamous Cell Carcinoma|Stage IV Head and Neck Cutaneous Squamous Cell Carcinoma,PROCEDURE: Biopsy Procedure|PROCEDURE: Biospecimen Collection|PROCEDURE: Computed Tomography|BIOLOGICAL: Ivonescimab|PROCEDURE: Magnetic Resonance Imaging|PROCEDURE: Positron Emission Tomography|PROCEDURE: Surgical Procedure,University of Michigan Rogel Cancer Center,Summit Therapeutics,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-09-01,2027-06-01,2030-09-01,"University of Michigan Comprehensive Cancer Center, Ann Arbor, Michigan, 48109, United States"
NCT07094672,Development of an Opioid Withdrawal Clinical Outcome Assessment,https://clinicaltrials.gov/study/NCT07094672,NOT_YET_RECRUITING,Opioid Use Disorder,,"University of Maryland, Baltimore",,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL,2026-07-01,2027-06-30,2028-06-30,"Kahlert Institute for Addiction Medicine, Baltimore, Maryland, 21201, United States"
NCT07094659,Aging and Task-specific Training to Reduce Falls,https://clinicaltrials.gov/study/NCT07094659,RECRUITING,Fall Prevention,BEHAVIORAL: Task-Specific Balance Training|BEHAVIORAL: Treadmill Perturbation Training|BEHAVIORAL: Conventional Balance Training,University of Illinois at Chicago,National Institute on Aging (NIA),ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-08-15,2029-05-31,2029-08-31,"University of Illinois at Chicago, Chicago, Illinois, 60622, United States"
NCT07094646,Full Assessment of Clinical Transfusion Support,https://clinicaltrials.gov/study/NCT07094646,COMPLETED,Sickle Cell Anemia|Blood Transfusion|Malaria Parasitaemia,,"Children's Hospital Medical Center, Cincinnati",Cincinnati Children's Hospital Medical Center (CCHMC),ALL,"CHILD, ADULT, OLDER_ADULT",OBSERVATIONAL,2023-09-21,2024-03-19,2024-03-19,"Jinja Regional Referral Hospital (JRRH), Jinja, Uganda"
NCT07094633,Comparative Effects of Kegel Versus Clamshell Exercises on Low Back Pain in Women With Uterine Fibroids: A Randomized Clinical Trial,https://clinicaltrials.gov/study/NCT07094633,COMPLETED,Low Back Pain|Uterine Fibroids (UF),PROCEDURE: Kegel Exercise Group|PROCEDURE: Clamshell Exercise Group,University of Faisalabad,,FEMALE,ADULT,INTERVENTIONAL,2025-02-14,2025-05-30,2025-05-30,"The University of Faisalabad, Faisalābad, Pakistan"
NCT07094620,Non-surgical Rhinoplasty After Nasal Skin Cancer Reconstruction: Enhancing Aesthetic Outcomes,https://clinicaltrials.gov/study/NCT07094620,COMPLETED,Plastic Surgery Procedures,RADIATION: Non-surgical rhinoplasty,Centre Hospitalier Universitaire de Nice,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL,2023-06-15,2024-05-03,2024-05-03,"CHU NICE, Nice, Alpes Maritimes, 0600, France"
NCT07094607,The Impact of Ecological Intelligence and Anxiety on Sustainable Nutrition,https://clinicaltrials.gov/study/NCT07094607,RECRUITING,Ecological Anxiety|Ecological Intelligence|Sustainable Dietary Preferences,,Atılım University,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL,2025-03-01,2025-08-01,2025-08-10,"Atılım University, Ankara, Turkey"
NCT07094594,ARES Trial: Approach to Resection and Evaluation in Severe Diverticulitis,https://clinicaltrials.gov/study/NCT07094594,COMPLETED,Diverticular Disease of Colon|Colostomy - Stoma|Loop Ileostomies,,Azienda Sanitaria Locale Napoli 2 Nord,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL,2017-01-01,2025-01-01,2025-03-30,"Napoli, 80131, Italy"
NCT07094581,Evaluation of the Effect of Adenoid Hypertrophy on the Masseter Muscle in Children: A Comparative Ultrasonographic Study,https://clinicaltrials.gov/study/NCT07094581,RECRUITING,Adenoid Hypertrophy|Masseter Muscle|Malocclusion,DIAGNOSTIC_TEST: USG,Melis AKYILDIZ,,ALL,CHILD,OBSERVATIONAL,2024-07-20,2025-11-09,2025-12-31,"Aydın Adnan Menderes University, Aydın, Efeler, Turkey"
NCT07094568,Tirzepatide vs Liraglutide in Bone,https://clinicaltrials.gov/study/NCT07094568,RECRUITING,Obesity (Disorder),,National and Kapodistrian University of Athens,"Laikο General Hospital, Athens|Athens Medical Center|Sotiria General Hospital|251 Hellenic Air Force & VA General Hospital|Evangelismos Hospital",ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL,2025-05-23,2026-07-30,2026-07-30,"Laiko General Hospital, Athens, Attica, 11527, Greece"
NCT07094555,"The Effect of Two Different Interventions Applied During the Transfer of Children to the Operating Room for Circumcision on Fear, Anxiety, Comfort and Pain Levels",https://clinicaltrials.gov/study/NCT07094555,NOT_YET_RECRUITING,Male Circumcision,BEHAVIORAL: Animal Assisted Practice|BEHAVIORAL: Kaleidoscope,MELİS CAN KESGİN GÜNGÖR,,MALE,CHILD,INTERVENTIONAL,2025-07-29,2025-09-01,2026-03-01,
NCT07094542,Jaw Muscle Pain Post Wisdom Molar Surgery,https://clinicaltrials.gov/study/NCT07094542,NOT_YET_RECRUITING,Post Operative Pain|Impacted Third Molar Tooth|Muscle Pain,DRUG: Temporo-masseteric Nerve Block Injection|DRUG: Oral Pain Medications only,"Rutgers, The State University of New Jersey",National Institute of Dental and Craniofacial Research (NIDCR),ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-11,2029-11,2030-05,"Rutgers School of Dental Medicine, Newark, New Jersey, 07103, United States"
NCT07094529,Personalized Hypoglycemia Outpatient Treatment - a Feasibility Study,https://clinicaltrials.gov/study/NCT07094529,RECRUITING,Type 2 Diabetes (T2DM)|Hypoglycemia (Diabetic),"BEHAVIORAL: Recumbent Exercise Bike to induce mild hypoglycemia|BEHAVIORAL: Delaying food to induce mild hypoglycemia,",Ottawa Hospital Research Institute,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-07-21,2026-12-31,2027-06-30,"The Ottawa Hospital, Ottawa, Ontario, K1H 7W9, Canada"
NCT07094516,A Clinical Trial to Learn About the Effects of VHB937 in People With Early Alzheimer's Disease,https://clinicaltrials.gov/study/NCT07094516,NOT_YET_RECRUITING,Alzheimer's Disease,BIOLOGICAL: VHB937|BIOLOGICAL: VHB937|OTHER: Placebo,Novartis Pharmaceuticals,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-09-18,2028-09-14,2030-12-31,
NCT07094503,Adolescent Chatbot,https://clinicaltrials.gov/study/NCT07094503,RECRUITING,Body Image Disturbance|Disordered Eating Behaviors|Eating Disorder Prevention,BEHAVIORAL: Wysa Digital Chatbot Program,Washington University School of Medicine,,ALL,CHILD,INTERVENTIONAL,2024-06-18,2026-05-30,2026-05-30,"Washington University in St. Louis, St. Louis, Missouri, 63130, United States"
NCT07094490,Comparison of Posture and Respiration in Adults With and Without Head Forward Posture,https://clinicaltrials.gov/study/NCT07094490,COMPLETED,Forward Head Posture,,Nigde Omer Halisdemir University,,ALL,ADULT,OBSERVATIONAL,2024-11-08,2025-01-08,2025-01-08,"Nigde Omer Halisdemir University, Niğde, 51200, Turkey"
NCT07094477,Study of Targeted CD22/CD19 CAR-T Therapy for First-line Consolidation of B-cell Lymphoma,https://clinicaltrials.gov/study/NCT07094477,ACTIVE_NOT_RECRUITING,Lymphoma,DRUG: CD22/CD19 CAR-T cell immunotherapy,Daihong Liu,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-04-01,2027-03-31,2027-03-31,"Chinese PLA General Hospital, Beijing, Beijing, 100853, China"
NCT07094464,Maintenance Therapy With Selinexor and Azacitidine in TP53 Mutant AML/MDS After Transplantation,https://clinicaltrials.gov/study/NCT07094464,ACTIVE_NOT_RECRUITING,TP53-mutated MDS and AML|Allogeneic Hematopoietic Stem Cell Transplantation,DRUG: Maintenance Therapy with Selinexor and Azacitidine,Daihong Liu,,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL,2025-06-01,2027-06-30,2028-12-30,"Chinese PLA General Hospital, Beijing, Beijing, 100853, China"
NCT07094451,Virtual Reality for Pain Control in US-Guided Obstetric Needle Procedures,https://clinicaltrials.gov/study/NCT07094451,RECRUITING,Procedural Pain,DEVICE: Virtual Reality|PROCEDURE: Ultrasound,Icahn School of Medicine at Mount Sinai,,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-07-02,2027-03-30,2027-03-30,"Mount Sinai Obstetrics and Gynecology, New York, New York, 10029, United States"
NCT07094438,Study Safety and Efficacy of Deep Brain Stimulation (DBS) and Cervical Deep Lymphoid-venous Anastomosis (LVA) in Alzheimer's Disease,https://clinicaltrials.gov/study/NCT07094438,RECRUITING,Alzheimer Disease,"PROCEDURE: Deep Brain Stimulation, DBS|PROCEDURE: Deep cervical lymphatic-venous anastomosis, LVA|DRUG: Recognized pharmacological treatments for AD.",Chinese PLA General Hospital,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-01-01,2026-06,2027-07,"Chinese PLA General Hospital, Beijing, China"
NCT07094425,Intensive Care Unit-acquired Heart Failure in Critically Ill: the ICU-HF Study,https://clinicaltrials.gov/study/NCT07094425,NOT_YET_RECRUITING,Heart Failure|ICUAW,DIAGNOSTIC_TEST: transthoracic echocardiography,"Charite University, Berlin, Germany",Medical University of Vienna,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL,2025-08-01,2026-08-01,2026-11-01,"Medical University of Vienna, Vienna, 1090, Austria|Charité - Universitätsmedizin Berlin, Berlin, 10117, Germany"
NCT07094412,Patient-engaged Development and Testing of Educational Content on Side Effects of Statins,https://clinicaltrials.gov/study/NCT07094412,ENROLLING_BY_INVITATION,Dyslipidemia,OTHER: Educational content on statin side effects,Weill Medical College of Cornell University,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-07,2026-07,2026-07,"Weill Cornell Medicine, New York City, New York, 10021, United States"
NCT07094399,Tranexamic Acid for Postpartum Vaginal Laceration Hemorrhage,https://clinicaltrials.gov/study/NCT07094399,COMPLETED,Postpartum Hemorrhage|Vaginal Lacerations,,Harran University,"Esra Söylemez, MD (Mardin Education and Research Hospital)|Emre Uysal, MD (Yusufeli State Hospital)",FEMALE,ADULT,OBSERVATIONAL,2024-01-01,2024-11-30,2024-11-30,"Harran University, Şanlıurfa, 63200, Turkey"
NCT07094386,Postoperative Analgesia in Patients Undergoing Open Upper Abdominal Surgeries: External Oblique Intercostal Plane Block vs. Quadratus Lumborum Block,https://clinicaltrials.gov/study/NCT07094386,NOT_YET_RECRUITING,Post Operative Pain,PROCEDURE: External Oblique Intercostal Plain Block|PROCEDURE: Quadratus Lumborum Block|DRUG: Bupivacaine %0.25 (isobaric)|DRUG: Bupivacaine %0.25 (isobaric),Cairo University,,ALL,ADULT,INTERVENTIONAL,2025-08-15,2026-04-15,2026-04-15,"Cairo university hospitals, Cairo, Egypt"
NCT07094373,Validation of Chlamydia Diagnostic Codes in TriNetX US EHR Data,https://clinicaltrials.gov/study/NCT07094373,RECRUITING,Chlamydial Infections,,Sanofi,,ALL,"CHILD, ADULT",OBSERVATIONAL,2025-01-01,2025-12-24,2025-12-24,"University of Massachusetts Medical School, Worcester, Massachusetts, 01655, United States"
NCT07094360,Effect of Hydrotherapy on Children With Brain Tumor,https://clinicaltrials.gov/study/NCT07094360,COMPLETED,Pediatric Brain Tumor,OTHER: Land-based exercise program|OTHER: Hydrotherapy besides Land-based exercise program,Cairo University,,ALL,CHILD,INTERVENTIONAL,2016-11,2016-12,2017-04,
NCT07094347,Effects of Intradialytic Inspiratory Muscle Training on Functional Capacity in Hemodialysis Patients,https://clinicaltrials.gov/study/NCT07094347,NOT_YET_RECRUITING,Hemodialysis,DEVICE: inspiratory muscle training,Baskent University,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-08-20,2026-05-30,2026-06-30,
NCT07094334,"Investigation of Single Session Action Observation and Motor Imagery Training on Balance, Muscle Oxygenation, Fatigue",https://clinicaltrials.gov/study/NCT07094334,NOT_YET_RECRUITING,Motor Imagery Training|Action Observation Training,OTHER: Action Observation|OTHER: Action Observation combined with Motor Imagery|OTHER: Sham (No Treatment),Bandırma Onyedi Eylül University,Gazi University,MALE,ADULT,INTERVENTIONAL,2025-08-01,2025-12-01,2025-12-31,"Gazi University, Ankara, Turkey"
NCT07094321,Study on the Correlation Between Intraoperative Hypotension and Postoperative Myocardial Injury,https://clinicaltrials.gov/study/NCT07094321,ACTIVE_NOT_RECRUITING,Myocardial Injury After Noncardiac Surgery (MINS)|Hypotension During Surgery,,China-Japan Friendship Hospital,,ALL,"CHILD, ADULT, OLDER_ADULT",OBSERVATIONAL,2025-01-01,2025-07-30,2025-12-30,"China-japan Friendship Hospital, Beijing, Beijing, 100029, China"
NCT07094308,The LIFT-ECHO Last Mile Project,https://clinicaltrials.gov/study/NCT07094308,NOT_YET_RECRUITING,Intestinal Failure,BEHAVIORAL: Learn Intestinal Failure Tele-ECHO Program|BEHAVIORAL: Standard of Care,Icahn School of Medicine at Mount Sinai,Rhode Island Hospital|The New York Academy of Medicine|University of Utah|London School of Economics and Political Science,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL,2025-09-01,2030-06-30,2030-06-30,"Icahn School of Medicine at Mount Sinai, New York, New York, 10029, United States|New York Academy of Medicine (NYAM), New York, New York, 10029, United States|Rhode Island Hospital, Providence, Rhode Island, 02903, United States|University of Utah, Salt Lake City, Utah, 84112, United States|London School of Economics and Political Science, London, WC2A 2AE, United Kingdom"
NCT07094295,Perioperative Blood Transfusion and Increased One-year Mortality,https://clinicaltrials.gov/study/NCT07094295,COMPLETED,"Mortality, Perioperative Blood Transfusion, Propensity Score, Retrospective Study, Surgery",OTHER: perioperative blood transfusion,Changhai Hospital,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL,2012-01-01,2016-10-31,2016-10-31,
NCT07094282,Prospective Assessment of Integrative Therapies for Neuromusculoskeletal Pain (PAIN),https://clinicaltrials.gov/study/NCT07094282,NOT_YET_RECRUITING,Chronic Pain,OTHER: Acupuncture|OTHER: myofascial therapy|OTHER: microcurrent therapy|OTHER: LASER|OTHER: extracorporeal shockwave therapy|OTHER: Pulsed electromagnetic therapies|OTHER: Miscellaneous integrative medicine,David Moss,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-08,2028-07,2028-07,"Mike O'Callaghan Military Medical Center, Nellis Air Force Base, Nevada, 89191, United States"
NCT07094269,"Protocol for a Parallel-Group, Superiority Randomized Controlled Trial of a Packer Managing Fatigue Program Versus Standard Information to Improve Self-Efficacy in Energy Conservation in Parkinson's Disease",https://clinicaltrials.gov/study/NCT07094269,ENROLLING_BY_INVITATION,PARKINSON DISEASE (Disorder),OTHER: Occupational Therapy Intervention|BEHAVIORAL: Fact-sheets,Universita degli Studi di Genova,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-07-01,2026-04-01,2026-06-01,"Department of Neuroscience, Rehabilitation, Ophthalmology, Genetics and Maternal Child Health (DINOGMI) University of Genoa Genoa, Italy, Genova, Italy"
NCT07094256,Torque Device Evaluation,https://clinicaltrials.gov/study/NCT07094256,NOT_YET_RECRUITING,Electrophysiology Study|Ablation,DEVICE: Peritorq,University of Minnesota,,ALL,"CHILD, ADULT",INTERVENTIONAL,2025-08-04,2026-08-04,2026-08-04,"University of Minnesota, Minneapolis, Minnesota, 55455, United States"
NCT07094243,Motivational Psychotherapy for Adolescent Depression,https://clinicaltrials.gov/study/NCT07094243,COMPLETED,Depression|Low Academic Self-Concept,BEHAVIORAL: Motivational Psychotherapy,Atefe Momeni,,FEMALE,CHILD,INTERVENTIONAL,2023-11-05,2024-01-20,2024-01-20,"Islamic Azad University, Tehran Electronic Branch, Tehran, 14398-14994, Iran, Islamic Republic of"
NCT07094230,Combination iSTAT/Alinity and IR Oculography for Head CT Necessity and Recovery Prediction After mTBI,https://clinicaltrials.gov/study/NCT07094230,NOT_YET_RECRUITING,Blood,DIAGNOSTIC_TEST: biomarkers analyses,Captain James A. Lovell Federal Health Care Center,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-08-01,2026-08,2026-08,"Captain James A. Lovell Federal Health Care Center, North Chicago, Illinois, 60064, United States"
NCT07094217,Fluoroless Conduction System Implant,https://clinicaltrials.gov/study/NCT07094217,NOT_YET_RECRUITING,Pacemaker|Conduction System Pacing,,Imperial College London,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL,2025-07-30,2026-07-30,2026-07-30,
NCT07094204,A Study to Find a Suitable Dose of ASP5834 in Adults With Solid Tumors,https://clinicaltrials.gov/study/NCT07094204,NOT_YET_RECRUITING,Solid Tumor|Non-Small-Cell Lung Cancer|Pancreatic Ductal Adenocarcinoma|Colorectal Cancer,DRUG: ASP5834|DRUG: panitumumab,Astellas Pharma Inc,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-07-31,2028-11-30,2029-04-30,
NCT07094191,The Effects of Acute Chicory Coffee Consumption on Exercise Performance and Metabolism,https://clinicaltrials.gov/study/NCT07094191,COMPLETED,Fat Metabolism|Sport Nutrition|Exercise Metabolism|Inflammation|Glucose Metabolism,"DIETARY_SUPPLEMENT: Chicory Coffee (Caffeine-free, polyphenol-rich beverage from roasted chicory root)|DIETARY_SUPPLEMENT: arabica coffee|DIETARY_SUPPLEMENT: no beverage control",Fatma Özsel Özcan,,MALE,ADULT,INTERVENTIONAL,2024-01-01,2025-05-18,2025-06-16,"Halic University, Istanbul, 34, Turkey"
NCT07094178,Corticosteroid Versus PRP Injections for Shoulder Tendinopathy,https://clinicaltrials.gov/study/NCT07094178,RECRUITING,Tendinopathy of Rotator Cuff,PROCEDURE: Corticosteroid Injection|PROCEDURE: platelet-rich plasma injection,Hopital Charles Nicolle,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL,2025-06-30,2025-10-01,2025-11-01,"Charles Nicolle Hospital, Tunis, Tunisia"
NCT07094165,The Effects of Dexmedetomidine and Remifentanil on Kidney Injury After Muscle Compression Injury in Rats,https://clinicaltrials.gov/study/NCT07094165,COMPLETED,Acute Kidney Injury|Crush Injury|Rhabdomyolysis,DRUG: Dexmedetomidine|DRUG: Remifentanil|PROCEDURE: Laparotomy|PROCEDURE: Compression,Ankara City Hospital Bilkent,,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL,2024-07-10,2025-03-07,2025-03-10,"Ankara Bilkent City Hospital, Ankara, Turkey"
